event_id,type,date,damage_cost,description1,description
25607794,Thunderstorm Wind,06-JUL-97 16:15:00,,,Trees reported down along Hwy 153.
5610046,Thunderstorm Wind,20-AUG-97 20:40:00,,,Several trees were toppled including a tree that fell across an electrical transformer on Louisiana Hwy 8.
5611660,Thunderstorm Wind,13-JUL-97 17:00:00,.5K,,Sheriffs Office reported trees were downed by thunderstorm wind gusts.
5615701,Thunderstorm Wind,22-AUG-97 15:25:00,5K,Severe thunderstorm winds blew down trees on Highway 165.,
5591339,Thunderstorm Wind,21-FEB-97 01:32:00,2K,Several trees were blown down.,
5586493,Thunderstorm Wind,23-JAN-97 22:10:00,1K,Numerous large limbs were blown out of trees.,
5586495,Hail,23-JAN-97 22:45:00,,,
5592282,Thunderstorm Wind,05-APR-97 04:30:00,,,Trees and power lines toppled from high winds.
5592116,Hail,22-APR-97 08:10:00,250K,,Hail damaged cars and roofs and the largest peach orchard in Lincoln Parish.
5588883,Thunderstorm Wind,21-FEB-97 01:15:00,.8K,The Office of Emergency Management reported 2 trees downed.,
5592279,Hail,04-APR-97 19:49:00,,,
5592280,Thunderstorm Wind,05-APR-97 05:40:00,,,Numerous trees and power lines were toppled resulting in numerous power outages.
5592117,Thunderstorm Wind,22-APR-97 08:15:00,,,Numerous trees and powerlines toppled with minor damage to homes and businesses.
5592118,Thunderstorm Wind,22-APR-97 09:30:00,,,Numerous trees and powerlines toppled throughout the city. School students were unable to commute home due to blocked roads and minor car accidents were reported as cars were running into felled trees.
5592119,Thunderstorm Wind,22-APR-97 09:30:00,,,Numerous trees and powerlines were toppled knocking out electricity to over 8000 customers.  Ten homes also suffered damage from downed trees.
5592120,Thunderstorm Wind,22-APR-97 09:05:00,,,Several trees and powerlines down.
5591349,Thunderstorm Wind,21-FEB-97 00:40:00,5K,Several trees and power lines were blown down. The roofing material of one house was blown off.,
5593432,Thunderstorm Wind,22-APR-97 10:05:00,20K,,Part of the roof of Davidson High School was blown off. A tractor trailer was blown off of Highway 65. A piece of farm equipment was blown on to a roadway.
5592273,Hail,27-APR-97 02:40:00,,,
5593607,Hail,23-APR-97 13:30:00,,,
5591316,Thunderstorm Wind,21-FEB-97 00:45:00,1K,Two trees were blown down.,
5591318,Thunderstorm Wind,21-FEB-97 01:20:00,10K,Numerous trees were blown down. One tree fell on a mobile home.,
5590660,Thunderstorm Wind,21-FEB-97 00:30:00,40K,Severe storms passed through Evangeline Parish, ripping the roof off a doctor's office in Ville Platte.
5590661,Thunderstorm Wind,21-FEB-97 00:10:00,50K,A line of severe thunderstorms passed through Rapides Parish, causing widespread damage in Pineville. The Tioga Junior High School had the roof ripped off the gymnasium
5590662,Thunderstorm Wind,20-FEB-97 23:00:00,25K,A severe thunderstorm knocked many trees down, and blew the roof off the police jury maintenance building east of DeRidder. The hardest hit area in the parish was around Dry Creek
5590663,Thunderstorm Wind,21-FEB-97 01:00:00,20K,Severe thunderstorms blew many trees down and caused roof shingles to be blown off several homes in Simmesport.,
5603969,Thunderstorm Wind,28-MAY-97 19:59:00,2K,,Several trees were blown down.
5591535,Thunderstorm Wind,21-FEB-97 01:30:00,5K,Several trees and power lines were blown down.,
5589648,Thunderstorm Wind,21-FEB-97 00:10:00,,,
5604238,Thunderstorm Wind,12-JUN-97 16:45:00,,,Several trees and power lines were toppled by the high winds.
5591539,Thunderstorm Wind,26-FEB-97 19:50:00,,,
5598110,Thunderstorm Wind,27-MAY-97 18:45:00,,,The south bound lane of U.S. Highway 167 was closed due to the numerous trees across the roadway.  A few trees were also reported on homes in the area.
5598111,Thunderstorm Wind,27-MAY-97 18:45:00,,,Numerous reports of trees down in the town and surrounding communities.  Some motorists were injured in car accidents when their cars slammed into fallen trees.  One accident occurred at La. Hwy 34 and La. Hwy 810 where one driver sustained serious injuries after his car hit a downed tree.
5598112,Hail,27-MAY-97 19:15:00,,,
5592435,Hail,11-APR-97 16:30:00,,,
5592261,Thunderstorm Wind,22-APR-97 08:05:00,,,Over 100 trees toppled knocking out electricity to over 3800 customers.
5591777,Thunderstorm Wind,11-APR-97 16:10:00,,,Numerous reports of trees and powerlines down across the region.  About 20 structures were damaged including a mobile home which was overturned.  A few mobile homes and a frame home were shoved off their foundations.
5603968,Hail,28-MAY-97 17:02:00,100K,,Numerous automobiles and roofs of houses were damaged by baseball size hail.
5598504,Thunderstorm Wind,26-APR-97 01:00:00,2K,A line of severe thunderstorms moved across east central and southeast Louisiana during the early morning hours. Wind gusts of 60 mph or greater were measured at several wind gages in the greater New Orleans area and on Lake Pontchartrain. North of Norco, wind gusts were strong enough to disloged approximately 3500 unsecured 250 pound timbers from the Bonnet Carre Spillway
5593431,Thunderstorm Wind,22-APR-97 09:50:00,1K,,Several large trees were blown down along Highway 80.
5603842,Thunderstorm Wind,27-MAY-97 20:15:00,5K,,Numerous trees were blown down throughout the parrish.
5587641,Hail,04-JAN-97 20:24:00,,,
5587642,Hail,04-JAN-97 20:24:00,,,
5587643,Hail,04-JAN-97 20:32:00,,,
5587644,Hail,04-JAN-97 21:20:00,,,
5587645,Hail,04-JAN-97 21:15:00,,,
5587656,Hail,27-JAN-97 17:20:00,,,
5587659,Hail,27-JAN-97 18:57:00,,,
5587660,Hail,27-JAN-97 19:05:00,,,
5587655,Thunderstorm Wind,23-JAN-97 20:45:00,,,
5587650,Thunderstorm Wind,23-JAN-97 21:15:00,,Numerous trees down across power lines causing power outages.,
5587652,Thunderstorm Wind,23-JAN-97 17:00:00,,,
5587654,Thunderstorm Wind,23-JAN-97 21:12:00,,Trees down across power lines resulting in numerous power outages.,
5593238,Thunderstorm Wind,05-APR-97 06:15:00,1K,,Several trees were blown down.
5593239,Thunderstorm Wind,05-APR-97 06:35:00,1K,,Several trees were blown down.
5593240,Thunderstorm Wind,05-APR-97 06:45:00,1K,,Several trees were blown down.
5593098,Hail,22-APR-97 13:55:00,,,
5593099,Hail,22-APR-97 14:30:00,,,
5600954,Thunderstorm Wind,05-APR-97 05:38:00,,Esler Field recorded a 61 mph wind gust.,
5600969,Thunderstorm Wind,26-APR-97 02:30:00,15K,A tree fell through a roof of a home in Alexandria during a thunderstorm.,
5604398,Thunderstorm Wind,26-JUN-97 15:35:00,,,
5604399,Hail,26-JUN-97 16:10:00,,,
5604631,Thunderstorm Wind,17-JUN-97 04:50:00,,,Numerous trees down along Hwy 9.
5604632,Thunderstorm Wind,17-JUN-97 04:55:00,,,Several large trees down.
5604633,Thunderstorm Wind,17-JUN-97 05:00:00,,,Several large trees down across Hwy 126.
5604634,Thunderstorm Wind,17-JUN-97 05:15:00,,,Trees and power lines down along Hwy 505 and Hwy 167.
5604636,Thunderstorm Wind,17-JUN-97 05:30:00,,,A few trees were toppled causing minor electrial outages.
5598088,Hail,02-MAY-97 21:05:00,,,
5598089,Hail,02-MAY-97 21:30:00,,,
5598224,Thunderstorm Wind,27-MAY-97 19:15:00,3M,,A squall line pushed through Ouachita Parish during the evening toppling trees and power lines.  Many homes suffered wind damage and roads were blocked by trees.  Several people were trapped inside their cars by downed power lines.  Over 200 telephone poles were snapped leaving 45
5592272,Hail,27-APR-97 02:30:00,,,
5602261,Thunderstorm Wind,28-MAY-97 17:33:00,5K,Thunderstorms produced large hail in a couple of locations in south Louisiana. Near New Roads, the sheriffs office reported that thunderstorm wind gusts downed trees. In Chalmette
5604390,Thunderstorm Wind,13-JUN-97 20:25:00,,,Numerous trees and power lines were blown over.
5604391,Thunderstorm Wind,13-JUN-97 20:50:00,,,Trees and power lines were toppled.
5604392,Thunderstorm Wind,13-JUN-97 20:55:00,,,Trees and power lines were blown down.
5603843,Thunderstorm Wind,27-MAY-97 19:45:00,3K,,Numerous trees and power lines downed throughout Rayville.
5603844,Thunderstorm Wind,27-MAY-97 20:55:00,,,
5604393,Thunderstorm Wind,13-JUN-97 20:58:00,,,Trees and power lines were blown down temporarily blocking Hwy 167.
5604394,Thunderstorm Wind,13-JUN-97 21:05:00,,,Trees and power lines were blown over.
5593236,Thunderstorm Wind,05-APR-97 06:40:00,2K,,Several trees and power lines were blown down.
5593237,Thunderstorm Wind,05-APR-97 07:05:00,2K,,Several trees were blown down throughout the county.
5592113,Hail,22-APR-97 08:30:00,,,
5592114,Thunderstorm Wind,22-APR-97 08:50:00,,,Trees and powerlines were toppled throughout the community.
5600821,Thunderstorm Wind,05-APR-97 06:41:00,5K,Severe thunderstorm winds blew several telephone poles down in Port Barre.,
5600819,Thunderstorm Wind,05-APR-97 05:30:00,5K,Several trees were blown down across power lines around Glenmora.,
5598501,Thunderstorm Wind,22-APR-97 15:15:00,.5K,The Pointe Coupee Parish sheriffs office reported several trees and power lines down between Morganza and New Roads. Golfball size hail was reported by the sheriffs office in Jacskon.,
5598195,Hail,27-APR-97 00:43:00,,Nickel sized hail was reported by the sheriffs office in New Roads. Lightning struck the communications tower of the sheriffs office in New Roads. Heavy rainfall, between 3 and 6 inches
5598502,Hail,22-APR-97 15:47:00,,The Pointe Coupee Parish sheriffs office reported several trees and power lines down between Morganza and New Roads. Golfball size hail was reported by the sheriffs office in Jacskon.,
5616949,Thunderstorm Wind,03-SEP-97 18:30:00,20K,A severe thunderstrom blew through Cheneyville, knocking down many trees and power lines.
5620717,Hail,21-NOV-97 10:55:00,0,A severe thunderstorm produced a tornado as it moved into St. Tammany Parish. The tornado was first observed by the State Police on Interstate Highway 12 west of  Covington. From data collected on a ground, damage survey by the National Weather Service
5621463,Thunderstorm Wind,24-OCT-97 03:10:00,20K,Severe thunderstorms produced straight-line winds in excess of 60 mph, causing many trees and power lines to be blown down near Oakdale.
5621465,Thunderstorm Wind,24-OCT-97 00:00:00,250K,Severe straight-line winds smashed hangars and airplanes at the Bunkie airport, as well as damaging several other homes and businesses. NWS radar and storm surveys indicated that the winds occurred in a rear-flank downdraft of a severe thunderstorm
5621466,Thunderstorm Wind,24-OCT-97 03:00:00,50K,The second severe thunderstorm of the night to hit Avoyelles Parish, this time in the Marksville area. At the airport
5621458,Thunderstorm Wind,23-OCT-97 20:20:00,10K,A few trees were blown down in Pitkin due to severe thunderstorm winds.,
5621459,Hail,23-OCT-97 21:20:00,,,
5617719,Thunderstorm Wind,23-OCT-97 22:30:00,10K,,One mobile home was damaged and several trees and power lines were blown down.
5628985,Hail,12-JAN-98 03:14:00,,,
5628987,Thunderstorm Wind,12-JAN-98 02:18:00,10K,Severe storms blew down trees across the power lines in Glenmora.,
5651173,Thunderstorm Wind,15-JUN-98 19:00:00,,,
5629184,Hail,22-JAN-98 00:00:00,,,
5627798,Thunderstorm Wind,21-JAN-98 21:03:00,12K,,Motor home blown off road.
5627799,Hail,21-JAN-98 21:05:00,,,Hail 11/2 inches in diameter covered the ground along Hwy 492.
5627800,Hail,21-JAN-98 21:10:00,,,
5627801,Hail,21-JAN-98 21:15:00,,,
5629012,Hail,21-JAN-98 22:50:00,,,
5667892,Tornado,12-SEP-98 12:17:00,10K,A small tornado associated with the remnants of Tropical Storm Frances blew down some trees on Highway 28 west of Alexandria.,
5667893,Tornado,12-SEP-98 07:38:00,10K,A small tornado associated with the remnants of Tropical Storm Frances touched down in a wooded area northwest of Oberlin.,
5627927,Hail,12-JAN-98 00:22:00,,,
5627928,Hail,21-JAN-98 21:15:00,,,
5640012,Hail,07-MAR-98 05:10:00,,,
5640013,Hail,07-MAR-98 04:25:00,,,
5636604,Hail,27-APR-98 21:45:00,,,
5657948,Thunderstorm Wind,05-JUN-98 09:50:00,20K,,Powerlines toppled.
5657949,Thunderstorm Wind,05-JUN-98 09:55:00,,,Numerous trees down.
5627236,Hail,11-JAN-98 21:40:00,,,
5628008,Thunderstorm Wind,10-FEB-98 16:40:00,1K,,Several trees were blown down.
5628010,Thunderstorm Wind,10-FEB-98 16:20:00,2K,,Several trees and power lines were blown down.
5628011,Thunderstorm Wind,10-FEB-98 16:25:00,1K,,Several trees were blown down.
5627234,Hail,11-JAN-98 21:08:00,,,
5628994,Hail,14-JAN-98 22:32:00,,,
5628012,Thunderstorm Wind,10-FEB-98 16:45:00,4K,,Numerous trees were blown down throughout the parish.
5628013,Thunderstorm Wind,10-FEB-98 16:45:00,2K,,Several trees and power lines were blown down.
5628014,Thunderstorm Wind,10-FEB-98 16:50:00,1K,,Several trees were blown down.
5628015,Thunderstorm Wind,10-FEB-98 17:05:00,5K,,Numerous trees were blown down.
5627810,Thunderstorm Wind,12-JAN-98 00:30:00,,,Numerous trees and power lines down on east side of the city.
5627811,Thunderstorm Wind,12-JAN-98 00:35:00,30K,,Mobile home flipped upside down along Hwy 119.
5627381,Hail,12-JAN-98 01:10:00,,,
